* Environment:                2k
* Environment Version:        16.2.3 `6a407717a9c`
* Option:                     60s_32_0rps
* Date:                       2024-04-12
* Run Time:                   1h 11m 54.64s (Start: 14:56:55 UTC, End: 16:08:49 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 95.57%

NAME                                                     | RPS  | RPS RESULT         | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|--------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 32/s | 31.81/s (>25.60/s) | 80.70ms   | 95.79ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 32/s | 31.4/s (>1.28/s)   | 221.81ms  | 250.46ms (<24000ms)  | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 32/s | 31.79/s (>25.60/s) | 88.29ms   | 103.22ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 32/s | 17.28/s (>5.12/s)  | 1691.00ms | 1971.97ms (<8000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 32/s | 31.3/s (>2.56/s)   | 243.21ms  | 271.00ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 32/s | 31.32/s (>1.28/s)  | 246.60ms  | 275.33ms (<22000ms)  | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 32/s | 13.98/s (>3.84/s)  | 2098.49ms | 3477.22ms (<7000ms)  | 99.41% (>99%)  | Passed¹ 
api_v4_projects_deploy_keys                              | 32/s | 31.9/s (>25.60/s)  | 58.04ms   | 67.26ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 32/s | 31.39/s (>25.60/s) | 219.49ms  | 246.76ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 32/s | 31.19/s (>25.60/s) | 245.74ms  | 263.14ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 32/s | 31.93/s (>25.60/s) | 46.71ms   | 49.19ms (<800ms)     | 1.56% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 32/s | 31.86/s (>25.60/s) | 58.61ms   | 69.03ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 32/s | 31.57/s (>25.60/s) | 150.13ms  | 178.96ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 32/s | 29.75/s (>12.80/s) | 443.26ms  | 797.72ms (<3500ms)   | 99.77% (>99%)  | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 32/s | 31.67/s (>25.60/s) | 126.39ms  | 146.61ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 32/s | 31.74/s (>25.60/s) | 103.55ms  | 121.15ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 32/s | 31.46/s (>25.60/s) | 200.17ms  | 224.39ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 32/s | 31.85/s (>7.68/s)  | 66.13ms   | 74.43ms (<5000ms)    | 1.56% (>99%)   | FAILED¹²
api_v4_projects_project                                  | 32/s | 31.62/s (>25.60/s) | 128.60ms  | 151.91ms (<200ms)    | 100.00% (>99%) | Passed  
